 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        62.89  AT TIME:     4.10
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
 THE MAXIMUM DISCHARGE FOR: Grnway2         STRUCTURE NO.        2 IS:       334.28  AT TIME:     4.50
                                        INFLOW NODE:     17840 AND OUTFLOW NODE:     17127
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.11                     -0.11
                                     2.00               0.01                     -0.01
                                     2.10               0.01                     -0.01
                                     2.20               0.10                     -0.10
                                     2.30               0.26                     -0.26
                                     2.40               0.32                     -0.32
                                     2.50               0.39                     -0.39
                                     2.60               0.48                     -0.48
                                     2.70               0.70                     -0.70
                                     2.80               0.86                     -0.86
                                     2.90               0.90                     -0.90
                                     3.00               0.92                     -0.92
                                     3.10               0.99                     -0.99
                                     3.20               1.10                     -1.10
                                     3.30               1.22                     -1.22
                                     3.40               1.48                     -1.48
                                     3.50               1.82                     -1.82
                                     3.60               4.81                     -4.81
                                     3.70              16.18                    -16.18
                                     3.80              22.93                    -22.93
                                     3.90              44.23                    -44.23
                                     4.00              90.56                    -90.56
                                     4.10             179.90                   -179.90
                                     4.20             242.57                   -242.57
                                     4.30             302.06                   -302.06
                                     4.40             331.77                   -331.77
                                     4.50             334.28                   -334.28
                                     4.60             321.15                   -321.15
                                     4.70             304.32                   -304.32
                                     4.80             295.64                   -295.64
                                     4.90             294.28                   -294.28
                                     5.00             294.70                   -294.70
                                     5.10             291.13                   -291.13
                                     5.20             282.86                   -282.86
                                     5.30             270.10                   -270.10
                                     5.40             254.94                   -254.94
                                     5.50             238.54                   -238.54
                                     5.60             222.97                   -222.97
                                     5.70             208.17                   -208.17
                                     5.80             195.33                   -195.33
                                     5.90             184.13                   -184.13
                                     6.00             174.50                   -174.50
                                     6.10             165.69                   -165.69
                                     6.20             156.62                   -156.62
                                     6.30             146.90                   -146.90
                                     6.40             137.46                   -137.46
                                     6.50             128.63                   -128.63
                                     6.60             120.76                   -120.76
                                     6.70             113.15                   -113.15
                                     6.80             106.14                   -106.14
                                     6.90              99.82                    -99.82
                                     7.00              94.12                    -94.12
                                     7.10              89.22                    -89.22
                                     7.20              84.94                    -84.94
                                     7.30              80.77                    -80.77
                                     7.40              76.87                    -76.87
                                     7.50              72.98                    -72.98
                                     7.60              69.47                    -69.47
                                     7.70              66.32                    -66.32
                                     7.80              63.34                    -63.34
                                     7.90              60.51                    -60.51
                                     8.00              57.83                    -57.83
                                     8.10              55.35                    -55.35
                                     8.20              53.05                    -53.05
                                     8.30              50.88                    -50.88
                                     8.40              48.99                    -48.99
                                     8.50              47.05                    -47.05
                                     8.60              45.39                    -45.39
                                     8.70              43.73                    -43.73
                                     8.80              42.02                    -42.02
                                     8.90              40.67                    -40.67
                                     9.00              39.20                    -39.20
                                     9.10              38.04                    -38.04
                                     9.20              36.78                    -36.78
                                     9.30              35.63                    -35.63
                                     9.40              34.54                    -34.54
                                     9.50              33.44                    -33.44
                                     9.60              32.34                    -32.34
                                     9.70              31.35                    -31.35
                                     9.80              30.34                    -30.34
                                     9.90              29.36                    -29.36
                                    10.00              28.46                    -28.46

 THE MAXIMUM DISCHARGE FOR: CULV_009        STRUCTURE NO.        3 IS:        37.27  AT TIME:     4.10
                                        INFLOW NODE:     43815 AND OUTFLOW NODE:     43173
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.49                     -0.49
                                     3.80               3.06                     -3.06
                                     3.90              13.45                    -13.45
                                     4.00              29.86                    -29.86
                                     4.10              37.27                    -37.27
                                     4.20              30.08                    -30.08
                                     4.30              22.52                    -22.52
                                     4.40              16.67                    -16.67
                                     4.50              12.33                    -12.33
                                     4.60               9.26                     -9.26
                                     4.70               7.44                     -7.44
                                     4.80               6.21                     -6.21
                                     4.90               5.21                     -5.21
                                     5.00               4.42                     -4.42
                                     5.10               3.80                     -3.80
                                     5.20               3.32                     -3.32
                                     5.30               2.93                     -2.93
                                     5.40               2.63                     -2.63
                                     5.50               2.40                     -2.40
                                     5.60               2.20                     -2.20
                                     5.70               2.02                     -2.02
                                     5.80               1.86                     -1.86
                                     5.90               1.74                     -1.74
                                     6.00               1.64                     -1.64
                                     6.10               1.53                     -1.53
                                     6.20               1.39                     -1.39
                                     6.30               1.24                     -1.24
                                     6.40               1.10                     -1.10
                                     6.50               0.98                     -0.98
                                     6.60               0.88                     -0.88
                                     6.70               0.77                     -0.77
                                     6.80               0.68                     -0.68
                                     6.90               0.61                     -0.61
                                     7.00               0.56                     -0.56
                                     7.10               0.51                     -0.51
                                     7.20               0.46                     -0.46
                                     7.30               0.43                     -0.43
                                     7.40               0.40                     -0.40
                                     7.50               0.37                     -0.37
                                     7.60               0.34                     -0.34
                                     7.70               0.31                     -0.31
                                     7.80               0.32                     -0.32
                                     7.90               0.31                     -0.31
                                     8.00               0.25                     -0.25
                                     8.10               0.22                     -0.22
                                     8.20               0.19                     -0.19
                                     8.30               0.17                     -0.17
                                     8.40               0.16                     -0.16
                                     8.50               0.15                     -0.15
                                     8.60               0.14                     -0.14
                                     8.70               0.13                     -0.13
                                     8.80               0.12                     -0.12
                                     8.90               0.11                     -0.11
                                     9.00               0.10                     -0.10
                                     9.10               0.10                     -0.10
                                     9.20               0.09                     -0.09
                                     9.30               0.08                     -0.08
                                     9.40               0.08                     -0.08
                                     9.50               0.07                     -0.07
                                     9.60               0.07                     -0.07
                                     9.70               0.06                     -0.06
                                     9.80               0.06                     -0.06
                                     9.90               0.06                     -0.06
                                    10.00               0.05                     -0.05

 THE MAXIMUM DISCHARGE FOR: CULV_069        STRUCTURE NO.        4 IS:      1184.85  AT TIME:     9.90
                                        INFLOW NODE:      1643 AND OUTFLOW NODE:      1318
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.01                     -0.01
                                     3.00               0.07                     -0.07
                                     3.10               0.08                     -0.08
                                     3.20               0.09                     -0.09
                                     3.30               0.12                     -0.12
                                     3.40               0.27                     -0.27
                                     3.50               0.47                     -0.47
                                     3.60               0.88                     -0.88
                                     3.70               1.56                     -1.56
                                     3.80               2.55                     -2.55
                                     3.90               6.81                     -6.81
                                     4.00              15.21                    -15.21
                                     4.10              16.75                    -16.75
                                     4.20              10.61                    -10.61
                                     4.30              23.34                    -23.34
                                     4.40              55.12                    -55.12
                                     4.50              74.30                    -74.30
                                     4.60              89.71                    -89.71
                                     4.70              90.69                    -90.69
                                     4.80              83.83                    -83.83
                                     4.90              80.28                    -80.28
                                     5.00             190.44                   -190.44
                                     5.10             472.46                   -472.46
                                     5.20             771.17                   -771.17
                                     5.30             915.72                   -915.72
                                     5.40             967.87                   -967.87
                                     5.50             993.99                   -993.99
                                     5.60            1013.74                  -1013.74
                                     5.70            1030.16                  -1030.16
                                     5.80            1042.59                  -1042.59
                                     5.90            1054.49                  -1054.49
                                     6.00            1064.71                  -1064.71
                                     6.10            1074.61                  -1074.61
                                     6.20            1083.22                  -1083.22
                                     6.30            1091.18                  -1091.18
                                     6.40            1097.82                  -1097.82
                                     6.50            1104.25                  -1104.25
                                     6.60            1110.01                  -1110.01
                                     6.70            1115.40                  -1115.40
                                     6.80            1120.06                  -1120.06
                                     6.90            1124.46                  -1124.46
                                     7.00            1128.47                  -1128.47
                                     7.10            1132.26                  -1132.26
                                     7.20            1135.71                  -1135.71
                                     7.30            1139.04                  -1139.04
                                     7.40            1142.00                  -1142.00
                                     7.50            1144.98                  -1144.98
                                     7.60            1147.72                  -1147.72
                                     7.70            1150.36                  -1150.36
                                     7.80            1152.89                  -1152.89
                                     7.90            1155.29                  -1155.29
                                     8.00            1157.58                  -1157.58
                                     8.10            1159.64                  -1159.64
                                     8.20            1161.73                  -1161.73
                                     8.30            1163.54                  -1163.54
                                     8.40            1165.41                  -1165.41
                                     8.50            1165.39                  -1165.39
                                     8.60            1168.26                  -1168.26
                                     8.70            1170.12                  -1170.12
                                     8.80            1170.05                  -1170.05
                                     8.90            1173.01                  -1173.01
                                     9.00            1173.34                  -1173.34
                                     9.10            1175.73                  -1175.73
                                     9.20            1176.95                  -1176.95
                                     9.30            1176.99                  -1176.99
                                     9.40            1179.22                  -1179.22
                                     9.50            1179.10                  -1179.10
                                     9.60            1181.62                  -1181.62
                                     9.70            1182.14                  -1182.14
                                     9.80            1183.07                  -1183.07
                                     9.90            1184.85                  -1184.85
                                    10.00            1184.25                  -1184.25

 THE MAXIMUM DISCHARGE FOR: CULV_070        STRUCTURE NO.        5 IS:        49.19  AT TIME:     4.40
                                        INFLOW NODE:     18191 AND OUTFLOW NODE:     18019
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.31                     -0.31
                                     3.70               0.57                     -0.57
                                     3.80               0.92                     -0.92
                                     3.90               3.19                     -3.19
                                     4.00               9.40                     -9.40
                                     4.10              33.92                    -33.92
                                     4.20              41.87                    -41.87
                                     4.30              48.58                    -48.58
                                     4.40              49.19                    -49.19
                                     4.50              45.31                    -45.31
                                     4.60              40.04                    -40.04
                                     4.70              34.88                    -34.88
                                     4.80              31.48                    -31.48
                                     4.90              29.02                    -29.02
                                     5.00              26.96                    -26.96
                                     5.10              24.70                    -24.70
                                     5.20              22.99                    -22.99
                                     5.30              21.09                    -21.09
                                     5.40              19.20                    -19.20
                                     5.50              17.47                    -17.47
                                     5.60              16.26                    -16.26
                                     5.70              15.08                    -15.08
                                     5.80              13.82                    -13.82
                                     5.90              12.78                    -12.78
                                     6.00              11.99                    -11.99
                                     6.10              11.10                    -11.10
                                     6.20              10.21                    -10.21
                                     6.30               9.43                     -9.43
                                     6.40               8.83                     -8.83
                                     6.50               8.24                     -8.24
                                     6.60               7.67                     -7.67
                                     6.70               7.14                     -7.14
                                     6.80               6.64                     -6.64
                                     6.90               6.21                     -6.21
                                     7.00               5.81                     -5.81
                                     7.10               5.45                     -5.45
                                     7.20               5.11                     -5.11
                                     7.30               4.79                     -4.79
                                     7.40               4.51                     -4.51
                                     7.50               4.26                     -4.26
                                     7.60               4.03                     -4.03
                                     7.70               3.81                     -3.81
                                     7.80               3.60                     -3.60
                                     7.90               3.40                     -3.40
                                     8.00               3.22                     -3.22
                                     8.10               3.06                     -3.06
                                     8.20               2.90                     -2.90
                                     8.30               2.74                     -2.74
                                     8.40               2.61                     -2.61
                                     8.50               2.48                     -2.48
                                     8.60               2.35                     -2.35
                                     8.70               2.24                     -2.24
                                     8.80               2.14                     -2.14
                                     8.90               2.04                     -2.04
                                     9.00               1.95                     -1.95
                                     9.10               1.86                     -1.86
                                     9.20               1.78                     -1.78
                                     9.30               1.70                     -1.70
                                     9.40               1.63                     -1.63
                                     9.50               1.56                     -1.56
                                     9.60               1.51                     -1.51
                                     9.70               1.45                     -1.45
                                     9.80               1.40                     -1.40
                                     9.90               1.36                     -1.36
                                    10.00               1.32                     -1.32

 THE MAXIMUM DISCHARGE FOR: CULV_122        STRUCTURE NO.        6 IS:        78.86  AT TIME:     4.70
                                        INFLOW NODE:      2399 AND OUTFLOW NODE:      1731
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.06                     -0.06
                                     3.80               0.38                     -0.38
                                     3.90               1.29                     -1.29
                                     4.00               2.31                     -2.31
                                     4.10               2.70                     -2.70
                                     4.20              10.54                    -10.54
                                     4.30              21.68                    -21.68
                                     4.40              29.18                    -29.18
                                     4.50              39.65                    -39.65
                                     4.60              73.34                    -73.34
                                     4.70              78.86                    -78.86
                                     4.80              78.17                    -78.17
                                     4.90              77.39                    -77.39
                                     5.00              76.40                    -76.40
                                     5.10              74.67                    -74.67
                                     5.20              72.05                    -72.05
                                     5.30              68.56                    -68.56
                                     5.40              65.25                    -65.25
                                     5.50              61.99                    -61.99
                                     5.60              58.50                    -58.50
                                     5.70              54.53                    -54.53
                                     5.80              51.67                    -51.67
                                     5.90              49.15                    -49.15
                                     6.00              47.15                    -47.15
                                     6.10              44.90                    -44.90
                                     6.20              42.72                    -42.72
                                     6.30              40.15                    -40.15
                                     6.40              36.23                    -36.23
                                     6.50              34.74                    -34.74
                                     6.60              33.41                    -33.41
                                     6.70              31.63                    -31.63
                                     6.80              29.44                    -29.44
                                     6.90              28.37                    -28.37
                                     7.00              27.26                    -27.26
                                     7.10              26.20                    -26.20
                                     7.20              25.17                    -25.17
                                     7.30              23.98                    -23.98
                                     7.40              22.89                    -22.89
                                     7.50              21.84                    -21.84
                                     7.60              20.80                    -20.80
                                     7.70              19.97                    -19.97
                                     7.80              19.08                    -19.08
                                     7.90              18.17                    -18.17
                                     8.00              17.47                    -17.47
                                     8.10              16.93                    -16.93
                                     8.20              16.44                    -16.44
                                     8.30              15.95                    -15.95
                                     8.40              15.40                    -15.40
                                     8.50              14.94                    -14.94
                                     8.60              14.54                    -14.54
                                     8.70              14.15                    -14.15
                                     8.80              13.77                    -13.77
                                     8.90              13.43                    -13.43
                                     9.00              13.10                    -13.10
                                     9.10              12.77                    -12.77
                                     9.20              12.41                    -12.41
                                     9.30              11.93                    -11.93
                                     9.40              11.45                    -11.45
                                     9.50              11.24                    -11.24
                                     9.60              11.09                    -11.09
                                     9.70              10.77                    -10.77
                                     9.80              10.40                    -10.40
                                     9.90              10.12                    -10.12
                                    10.00               9.91                     -9.91

 THE MAXIMUM DISCHARGE FOR: CULV_125        STRUCTURE NO.        7 IS:         0.54  AT TIME:     5.10
                                        INFLOW NODE:     22655 AND OUTFLOW NODE:     21898
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.00                      0.00
                                     4.00               0.00                      0.00
                                     4.10               0.00                      0.00
                                     4.20               0.00                      0.00
                                     4.30               0.00                      0.00
                                     4.40               0.14                     -0.14
                                     4.50               0.28                     -0.28
                                     4.60               0.37                     -0.37
                                     4.70               0.45                     -0.45
                                     4.80               0.50                     -0.50
                                     4.90               0.53                     -0.53
                                     5.00               0.54                     -0.54
                                     5.10               0.54                     -0.54
                                     5.20               0.54                     -0.54
                                     5.30               0.52                     -0.52
                                     5.40               0.50                     -0.50
                                     5.50               0.48                     -0.48
                                     5.60               0.46                     -0.46
                                     5.70               0.44                     -0.44
                                     5.80               0.42                     -0.42
                                     5.90               0.40                     -0.40
                                     6.00               0.39                     -0.39
                                     6.10               0.37                     -0.37
                                     6.20               0.35                     -0.35
                                     6.30               0.33                     -0.33
                                     6.40               0.31                     -0.31
                                     6.50               0.29                     -0.29
                                     6.60               0.28                     -0.28
                                     6.70               0.26                     -0.26
                                     6.80               0.25                     -0.25
                                     6.90               0.24                     -0.24
                                     7.00               0.23                     -0.23
                                     7.10               0.22                     -0.22
                                     7.20               0.21                     -0.21
                                     7.30               0.19                     -0.19
                                     7.40               0.16                     -0.16
                                     7.50               0.14                     -0.14
                                     7.60               0.11                     -0.11
                                     7.70               0.09                     -0.09
                                     7.80               0.07                     -0.07
                                     7.90               0.05                     -0.05
                                     8.00               0.03                     -0.03
                                     8.10               0.01                     -0.01
                                     8.20               0.00                      0.00
                                     8.30               0.00                      0.00
                                     8.40               0.00                      0.00
                                     8.50               0.00                      0.00
                                     8.60               0.00                      0.00
                                     8.70               0.00                      0.00
                                     8.80               0.00                      0.00
                                     8.90               0.00                      0.00
                                     9.00               0.00                      0.00
                                     9.10               0.00                      0.00
                                     9.20               0.00                      0.00
                                     9.30               0.00                      0.00
                                     9.40               0.00                      0.00
                                     9.50               0.00                      0.00
                                     9.60               0.00                      0.00
                                     9.70               0.00                      0.00
                                     9.80               0.00                      0.00
                                     9.90               0.00                      0.00
                                    10.00               0.00                      0.00

 THE MAXIMUM DISCHARGE FOR: CULV_126        STRUCTURE NO.        8 IS:         7.30  AT TIME:     5.10
                                        INFLOW NODE:     30281 AND OUTFLOW NODE:     29873
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.04                     -0.04
                                     3.70               0.27                     -0.27
                                     3.80               0.53                     -0.53
                                     3.90               1.10                     -1.10
                                     4.00               2.12                     -2.12
                                     4.10               3.79                     -3.79
                                     4.20               4.77                     -4.77
                                     4.30               5.19                     -5.19
                                     4.40               4.98                     -4.98
                                     4.50               4.64                     -4.64
                                     4.60               4.42                     -4.42
                                     4.70               4.17                     -4.17
                                     4.80               3.90                     -3.90
                                     4.90               4.02                     -4.02
                                     5.00               6.68                     -6.68
                                     5.10               7.30                     -7.30
                                     5.20               7.08                     -7.08
                                     5.30               6.82                     -6.82
                                     5.40               6.58                     -6.58
                                     5.50               6.34                     -6.34
                                     5.60               6.12                     -6.12
                                     5.70               5.68                     -5.68
                                     5.80               5.57                     -5.57
                                     5.90               5.51                     -5.51
                                     6.00               5.44                     -5.44
                                     6.10               5.36                     -5.36
                                     6.20               5.24                     -5.24
                                     6.30               5.13                     -5.13
                                     6.40               5.05                     -5.05
                                     6.50               4.92                     -4.92
                                     6.60               4.80                     -4.80
                                     6.70               4.52                     -4.52
                                     6.80               4.26                     -4.26
                                     6.90               4.02                     -4.02
                                     7.00               3.82                     -3.82
                                     7.10               3.67                     -3.67
                                     7.20               3.53                     -3.53
                                     7.30               3.42                     -3.42
                                     7.40               3.32                     -3.32
                                     7.50               3.22                     -3.22
                                     7.60               3.13                     -3.13
                                     7.70               3.03                     -3.03
                                     7.80               2.93                     -2.93
                                     7.90               2.84                     -2.84
                                     8.00               2.74                     -2.74
                                     8.10               2.64                     -2.64
                                     8.20               2.55                     -2.55
                                     8.30               2.48                     -2.48
                                     8.40               2.42                     -2.42
                                     8.50               2.37                     -2.37
